,S&P 500 Index,SCHG,SCHV,Invesco Funds - Invesco Global Investment Grade Corporate Bond Fund,iShares Core Global Aggt Bd ETF USD Dist,PIMCO GIS Asia Strategic Interest Bond Fund,"JANUS HENDERSON US SHORT TERM BOND ""A2"" (USD) ACC",Neuberger Berman High Yield Bond,Bloomberg Global-Aggregate Total Return Index Value Unhedged USD,MSCI World Index,MSCI World Net Total Return USD Index,AQUMON MPF Composite Index,AQUMON MPF Bond Index,AQUMON MPF Mixed Index,AQUMON MPF DIS Index,AQUMON MPF Equity Index,AQUMON MPF Equity Global Index,AQUMON MPF Equity US Index,AQUMON MPF Equity Europe Index,AQUMON MPF Equity Asia Index,AQUMON MPF Equity Greatchina index
2019-09-23,1.9656,108.3702,12.89,12.3422,5.30074,,17.45,16.83,510.7319,2193.74,6398.894,1.20032946,1.041516526,1.211322659,1.188042475,1.260444015,1.2768921,1.584135398,1.102837869,1.230175814,1.246508283
2019-09-24,1.9651,107.79408,12.89,12.3568,5.31234,,17.46,16.82,511.886,2182.07,6365.115,1.200068971,1.042328393,1.211249104,1.187653476,1.259223405,1.271477247,1.572547559,1.101915873,1.231144318,1.247601387
2019-09-25,1.9576,107.92341,12.88,12.3843,5.28883,,17.44,16.8,509.6049,2184.56,6372.378,1.194640748,1.041268444,1.206677846,1.186041083,1.249901906,1.270938929,1.575818725,1.091991338,1.218335041,1.233719866
2019-09-26,1.9604,107.88814,12.88,12.332,5.29273,,17.45,16.79,509.9129,2183.46,6369.454,1.195984986,1.041052669,1.207812164,1.18671816,1.252538617,1.270712966,1.574383942,1.097737438,1.221680529,1.23716
2019-09-27,1.9573,107.5942,12.95,12.3433,5.29078,,17.46,16.78,509.7306,2175.54,6351.612,1.193772098,1.041112513,1.205689658,1.185301592,1.248710554,1.267849376,1.566065456,1.104540589,1.21654323,1.232324305
2019-09-30,1.9618,107.82935,12.89,12.3522,5.2841,,17.46,16.79,509.2007,2180.02,6364.933,1.194946407,1.040767842,1.206553933,1.186351395,1.251274934,1.270533343,1.571610904,1.104479256,1.219118612,1.235683018
2019-10-02,1.9148,104.91346,12.89,12.3776,5.29427,,17.49,16.71,510.175,2121.47,6194.123,1.185909999,1.041236022,1.196161679,1.17508577,1.237569855,1.23962354,1.532340514,1.068738146,1.216144024,1.235247379
2019-10-03,1.9232,105.43079,12.89,12.3845,5.3223,,17.51,16.68,512.7702,2131.36,6224.015,1.188670409,1.043068155,1.199490844,1.179414232,1.240204313,1.24370578,1.540159551,1.067419634,1.218414589,1.240088928
2019-10-04,1.9453,106.54777,12.9,12.4101,5.32548,,17.51,16.7,513.0557,2153.82,6289.644,1.190133368,1.04408265,1.202576179,1.184600283,1.240038507,1.254831372,1.556370098,1.073442863,1.212725043,1.231767251
2019-10-08,1.9145,105.07806,12.92,12.412,5.31336,,17.51,16.68,512.0402,2124.15,6203.083,1.187935522,1.042814316,1.198845365,1.178736545,1.239070558,1.241150402,1.533410244,1.069906098,1.217711204,1.235969131
2019-10-09,1.9243,105.77177,12.93,12.4016,5.30382,,17.5,16.7,511.1154,2137.62,6243.38,1.186874411,1.042289691,1.198502488,1.179703446,1.236852819,1.247412878,1.541722303,1.075109936,1.211147183,1.22816665
2019-10-10,1.9352,106.40668,12.94,12.3801,5.29068,,17.49,16.7,509.751,2150.16,6280.606,1.188913033,1.041764061,1.199491915,1.178986886,1.241731447,1.254186649,1.552437577,1.08325646,1.214399186,1.233107168
2019-10-11,1.9638,107.85287,12.94,12.3436,5.28061,,17.47,16.74,508.7718,2179.33,6366.165,1.200330423,1.041620282,1.208810087,1.182855635,1.262840425,1.272088889,1.571410238,1.108895307,1.235642074,1.257577229
2019-10-14,1.9584,107.64123,12.95,12.338,5.28061,,17.46,16.75,508.9269,2175.28,6354.365,1.203198,1.042176287,1.210583797,1.183489441,1.268413173,1.27147193,1.570397129,1.104619788,1.244870847,1.26700291
2019-10-15,1.9735,108.69942,12.95,12.3517,5.27774,,17.47,16.77,508.6062,2196.61,6416.706,1.20655957,1.041797476,1.214581847,1.186280429,1.273391498,1.282937678,1.585155297,1.116224135,1.246127331,1.267457512
2019-10-16,1.9788,108.62887,12.95,12.3402,5.28,,17.48,16.79,508.8316,2195.35,6413.207,1.208268045,1.041349449,1.215808078,1.186014034,1.277024007,1.283209854,1.582195428,1.116762347,1.251715493,1.273099791
2019-10-17,1.9808,108.96984,12.95,12.3319,5.29201,,17.48,16.79,509.8869,2201.92,6432.695,1.211564242,1.042144493,1.218585282,1.187292816,1.282470618,1.286901626,1.583908285,1.121092295,1.25809571,1.281172725
2019-10-18,1.9761,108.64063,12.96,12.3394,5.29632,,17.48,16.8,510.319,2195.28,6413.371,1.20909475,1.042357675,1.216292615,1.18524509,1.278107812,1.283473578,1.578725231,1.119215168,1.253263896,1.275163577
2019-10-21,1.982,109.34609,12.97,12.3389,5.28893,,17.48,16.8,509.6642,2209.34,6454.543,1.210944521,1.041870509,1.218321416,1.186261453,1.281228072,1.290821224,1.585633993,1.126599841,1.254230554,1.275356331
2019-10-22,1.9755,109.08742,12.97,12.3397,5.29376,,17.48,16.81,510.1345,2204.29,6439.866,1.211063619,1.042099504,1.218424472,1.186793106,1.281290896,1.28869692,1.580006796,1.125749709,1.255576934,1.275055622
2019-10-23,1.9776,109.2873,12.98,12.3661,5.29468,,17.48,16.82,510.213,2208.28,6451.786,1.209298279,1.042426632,1.217938518,1.188101208,1.276719367,1.291057324,1.584061579,1.125622206,1.247721514,1.265262683
2019-10-24,1.9857,109.65179,12.99,12.3688,5.29714,,17.48,16.82,510.3962,2215.64,6473.403,1.21275209,1.042456036,1.220941577,1.190187011,1.282843369,1.293920589,1.587649791,1.13069419,1.255034709,1.274010026
2019-10-25,1.9918,110.00452,12.98,12.3701,5.28749,,17.48,16.84,509.4625,2222.75,6494.276,1.212989375,1.041860736,1.221342547,1.190066247,1.283428318,1.296956282,1.594552272,1.131406348,1.254309468,1.272871889
2019-10-28,1.9918,110.43955,12.98,12.3566,5.2722,,17.47,16.84,508.0721,2231.4,6519.562,1.216989609,1.041368946,1.223840683,1.190372487,1.292002504,1.302388728,1.604546105,1.135726944,1.264075317,1.284320602
2019-10-29,2.0019,110.49834,12.91,12.3475,5.27907,,17.47,16.84,508.7274,2232.45,6522.678,1.217211598,1.04161393,1.224610937,1.190948664,1.291567153,1.303480269,1.604828241,1.133979679,1.263362925,1.281587321
2019-10-30,2.0109,110.73349,12.98,12.3531,5.28482,,17.48,16.82,509.3415,2237.31,6537.389,1.216909862,1.042304731,1.225297058,1.193090541,1.289478025,1.305905377,1.607447704,1.13483916,1.259208445,1.276542119
